model,brand,ram,storage,price,processor,gpu,chipset,battery,battery_capacity,ram_storage_combo
vivo V29,vivo,12,256,1399,Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Adreno 642L,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),"Li-Po 4600 mAh, non-removable battery80W wired, 1-50% in 17 min (advertised)",4600.0,3072
vivo V29 (Variant 1),vivo,12,512,1799,Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Adreno 642L,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),"Li-Po 4600 mAh, non-removable battery80W wired, 1-50% in 17 min (advertised)",4600.0,6144
Apple iPhone 15,Apple,6,128,2399,Hexa-core (2x3.46 GHz Everest + 4x2.02 GHz Sawtooth),Apple GPU (5-core graphics),Apple A16 Bionic (4 nm),"Li-Ion, non-removable batteryWired, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,768
Apple iPhone 15 (Variant 1),Apple,6,256,3299,Hexa-core (2x3.46 GHz Everest + 4x2.02 GHz Sawtooth),Apple GPU (5-core graphics),Apple A16 Bionic (4 nm),"Li-Ion, non-removable batteryWired, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,1536
Apple iPhone 15 (Variant 2),Apple,6,512,2699,Hexa-core (2x3.46 GHz Everest + 4x2.02 GHz Sawtooth),Apple GPU (5-core graphics),Apple A16 Bionic (4 nm),"Li-Ion, non-removable batteryWired, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,3072
Apple iPhone 15 Plus,Apple,6,128,3899,Hexa-core (2x3.46 GHz Everest + 4x2.02 GHz Sawtooth),Apple GPU (5-core graphics),Apple A16 Bionic (4 nm),"Li-Ion, non-removable batteryWired, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,768
Apple iPhone 15 Plus (Variant 1),Apple,6,256,5399,Hexa-core (2x3.46 GHz Everest + 4x2.02 GHz Sawtooth),Apple GPU (5-core graphics),Apple A16 Bionic (4 nm),"Li-Ion, non-removable batteryWired, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,1536
Apple iPhone 15 Plus (Variant 2),Apple,6,512,6399,Hexa-core (2x3.46 GHz Everest + 4x2.02 GHz Sawtooth),Apple GPU (5-core graphics),Apple A16 Bionic (4 nm),"Li-Ion, non-removable batteryWired, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,3072
Apple iPhone 15 Pro,Apple,8,128,5249,Hexa-core (2x + 4x),Apple GPU (6-core graphics),Apple A17 Pro (3 nm),"Li-Ion, non-removable batteryWired, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,1024
Apple iPhone 15 Pro (Variant 1),Apple,8,256,5999,Hexa-core (2x + 4x),Apple GPU (6-core graphics),Apple A17 Pro (3 nm),"Li-Ion, non-removable batteryWired, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,2048
Apple iPhone 15 Pro (Variant 2),Apple,8,512,6999,Hexa-core (2x + 4x),Apple GPU (6-core graphics),Apple A17 Pro (3 nm),"Li-Ion, non-removable batteryWired, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,4096
Apple iPhone 15 Pro (Variant 3),Apple,8,1024,6819,Hexa-core (2x + 4x),Apple GPU (6-core graphics),Apple A17 Pro (3 nm),"Li-Ion, non-removable batteryWired, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,8192
Apple iPhone 15 Pro Max,Apple,8,256,4815,Hexa-core (2x + 4x),Apple GPU (6-core graphics),Apple A17 Pro (3 nm),"Li-Ion, non-removable batteryWired, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,2048
Apple iPhone 15 Pro Max (Variant 1),Apple,8,512,6499,Hexa-core (2x + 4x),Apple GPU (6-core graphics),Apple A17 Pro (3 nm),"Li-Ion, non-removable batteryWired, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,4096
Apple iPhone 15 Pro Max (Variant 2),Apple,8,1024,8499,Hexa-core (2x + 4x),Apple GPU (6-core graphics),Apple A17 Pro (3 nm),"Li-Ion, non-removable batteryWired, 50% in 30 min (advertised)
15W wireless (MagSafe)
7.5W wireless (Qi)",,8192
Infinix GT 10 Pro,Infinix,8,256,989,Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G77 MC9,Mediatek Dimensity 8050 (6 nm),"Li-Po 5000 mAh, non-removable battery45W wired, PD3",5000.0,2048
Google Pixel 8,Google,8,8,1650,Nona-core (1x3.0 GHz Cortex-X3 & 4x2.45 GHz Cortex-A715 & 4x2.15 GHz Cortex-A510),Immortalis-G715s MC10,Google Tensor G3 (4 nm),"Li-Ion 4575 mAh, non-removable battery27W wired, PD3.0, PPS, 50% in 30 min (advertised)
18W wireless
Reverse wireless",4575.0,64
Google Pixel 8 Pro,Google,12,12,2050,Nona-core (1x3.0 GHz Cortex-X3 & 4x2.45 GHz Cortex-A715 & 4x2.15 GHz Cortex-A510),Immortalis-G715s MC10,Google Tensor G3 (4 nm),"Li-Ion 5050 mAh, non-removable battery30W wired, PD3.0, PPS, 50% in 30 min (advertised)
23W wireless
Reverse wireless",5050.0,144
Redmi 12 5G,Redmi,4,6,559,Octa-core (2x2.2 GHz Cortex-A78 & 6x Cortex-A55),Adreno 613,Qualcomm Snapdragon 4 Gen 2 (4 nm),"Li-Po 5000 mAh, non-removable battery18W wired, PD",5000.0,24
Honor X5 Plus,Honor,4,64,449,4*Cortex-A53 up to 2.2Ghz+4*Cortex-A53 up to 1.6Ghz,IMG GE8320,MediaTek Helio G36,"5200 mAh (typical value), 5V/2A Standard Charger Type-C, USB 2.0",5200.0,256
Honor X6a,Honor,6,128,599,Octa-core (4x2.2 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),PowerVR GE8320,Mediatek Helio G36 (12 nm),"Li-Po 5200 mAh, non-removable battery22.5W wired, 31% in 20 min (advertised)",5200.0,768
Realme 11 5G,Realme,8,8,1165,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6100+ (6 nm),"Li-Po 5000 mAh, non-removable battery67W wired, 0-50% in 17 min (advertised)",5000.0,64
Infinix Zero 30,Infinix,8,12,1259,Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G77 MC9,Mediatek Dimensity 8020 (6 nm),"Li-Po 5000 mAh, non-removable battery68W wired, 80% in 30 min (advertised)",5000.0,96
OnePlus Ace 2 Pro,OnePlus,12,16,1965,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 5000 mAh, non-removable battery150W wired",5000.0,192
Oppo A58 4G,Oppo,6,128,699,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek MT6769 Helio G85 (12nm),"Li-Po 5000 mAh, non-removable battery33W wired, 56% in 30 min (advertised)",5000.0,768
nubia RedMagic 8S Pro,nubia,12,256,3399,Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740 (719 MHz),Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),"Li-Po 6000 mAh battery80W wired, PD3.0, 100% in 35 min (China)
65W wired, PD3.0, 100% in 40 min (International)",6000.0,3072
nubia RedMagic 8S Pro (Variant 1),nubia,16,512,4499,Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740 (719 MHz),Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),"Li-Po 6000 mAh battery80W wired, PD3.0, 100% in 35 min (China)
65W wired, PD3.0, 100% in 40 min (International)",6000.0,8192
vivo Y78 5G,vivo,8,256,829,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,Qualcomm SM6375 Snapdragon 695 5G (6 nm),"Li-Po 5000 mAh, non-removable battery44W wired",5000.0,2048
Samsung Galaxy Z Fold 5,Samsung,12,256,4699,Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),"Li-Po 4400 mAh, non-removable battery25W wired, 50% in 30 min (advertised)
15W wireless
4.5W reverse wireless",4400.0,3072
Samsung Galaxy Z Fold 5 (Variant 1),Samsung,12,512,5699,Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),"Li-Po 4400 mAh, non-removable battery25W wired, 50% in 30 min (advertised)
15W wireless
4.5W reverse wireless",4400.0,6144
Samsung Galaxy Z Fold 5 (Variant 2),Samsung,12,1024,7199,Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),"Li-Po 4400 mAh, non-removable battery25W wired, 50% in 30 min (advertised)
15W wireless
4.5W reverse wireless",4400.0,12288
Samsung Galaxy Z Flip 5,Samsung,8,256,2588,Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),"Li-Po 3700 mAh, non-removable battery25W wired, 50% in 30 min (advertised)
15W wireless
4.5W reverse wireless",3700.0,2048
Samsung Galaxy Z Flip 5 (Variant 1),Samsung,8,512,4999,Octa-core (1x3.36 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AC Snapdragon 8 Gen 2 (4 nm),"Li-Po 3700 mAh, non-removable battery25W wired, 50% in 30 min (advertised)
15W wireless
4.5W reverse wireless",3700.0,4096
vivo Y27,vivo,6,128,356,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek MT6769 Helio G85 (12nm),"Li-Po 5000 mAh, non-removable battery44W wired, 29% in 15 min (advertised)
Reverse wired",5000.0,768
Honor 90 Lite,Honor,8,256,1099,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6020 (7 nm),"Li-Po 4500 mAh, non-removable battery35W wired, 55% in 30 min (Europe)
22.5W wired (Global)",4500.0,2048
Honor 90,Honor,12,512,1679,Octa-core (1x2.5 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),Adreno 644,Qualcomm Snapdragon 7 Gen 1 Accelerated Edition (4 nm),"Li-Po 5000 mAh, non-removable battery66W wired
5W reverse wired",5000.0,6144
Honor 90 (Variant 1),Honor,12,512,1679,Octa-core (1x2.5 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),Adreno 644,Qualcomm Snapdragon 7 Gen 1 Accelerated Edition (4 nm),"Li-Po 5000 mAh, non-removable battery66W wired
5W reverse wired",5000.0,6144
Realme 11 Pro Plus,Realme,12,512,870,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,Mediatek MT6877V Dimensity 7050 (6 nm),"Li-Po 5000 mAh, non-removable battery100W wired",5000.0,6144
Realme 11 Pro,Realme,8,256,1499,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,Mediatek MT6877V Dimensity 7050 (6 nm),"Li-Po 5000 mAh, non-removable battery67W wired",5000.0,2048
vivo Y02t,vivo,4,64,371,Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,Mediatek MT6765 Helio P35 (12nm),"Li-Po 5000 mAh, non-removable battery10W wired
5W reverse wired",5000.0,256
Nothing phone 2,Nothing,12,256,1700,Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),"Li-Ion 4700 mAh, non-removable battery45W wired, PD3.0, PPS, QC4, 100% in 55 min (advertised)
15W wireless, 100% in 130 min (advertised)
5W reverse wireless",4700.0,3072
Nothing phone 2 (Variant 1),Nothing,12,512,2799,Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),"Li-Ion 4700 mAh, non-removable battery45W wired, PD3.0, PPS, QC4, 100% in 55 min (advertised)
15W wireless, 100% in 130 min (advertised)
5W reverse wireless",4700.0,6144
nubia Neo 5G,nubia,8,10,480,1 x 2.7GHz & 3 x 2.3GHz & 4 x 2.1GHz,Mali-G57 MC4,Unisoc T820 6nm,"4500mAh, 22.5W fast charging, Type-C 2.0, OTG",4500.0,80
Redmi 12,Redmi,4,128,403,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek Helio G88 (12nm),"Li-Po 5000 mAh, non-removable battery18W wired, PD",5000.0,512
Redmi 12 (Variant 1),Redmi,8,256,599,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek Helio G88 (12nm),"Li-Po 5000 mAh, non-removable battery18W wired, PD",5000.0,2048
Oppo A78 4G,Oppo,8,256,999,Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,Qualcomm SM6225 Snapdragon 680 4G (6 nm),"Li-Po 5000 mAh, non-removable battery, 67W SUPERVOOC flash charge",5000.0,2048
Huawei nova 11i,Huawei,8,256,1299,Octa-core (4x2.4 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,Qualcomm Snapdragon 680 4G (6 nm),"Li-Po 5000 mAh, non-removable battery40W wired, 60% in 30 min (advertised)",5000.0,2048
Huawei nova 11,Huawei,8,256,2189,Octa-core (4x2.4 GHz Kryo 670 & 4x1.8 GHz Kryo 670),Adreno 642L,Qualcomm SM7325 Snapdragon 778G 4G (6 nm),"Li-Po 4500 mAh, non-removable battery66W wired, 100% in 31 min (advertised)
Reverse wired",4500.0,2048
Huawei nova 11 Pro,Huawei,8,256,2599,Octa-core (4x2.4 GHz Kryo 670 & 4x1.8 GHz Kryo 670),Adreno 642L,Qualcomm SM7325 Snapdragon 778G 4G (6 nm),"Li-Po 4500 mAh, non-removable battery100W wired, 50% in 15 min (advertised)
Reverse wired",4500.0,2048
OnePlus Nord 3,OnePlus,16,256,2199,Octa-core (1x3.05 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Mali-G710 MC10,Mediatek MT6983 Dimensity 9000 (4 nm),"Li-Po 5000 mAh, non-removable battery80W wired, 1-60% in 15 min, 1-100% in 32 min (advertised)",5000.0,4096
Oppo Reno 10 Pro,Oppo,12,12,1505,Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,Mediatek Dimensity 8200 (4 nm),"Li-Po 4600 mAh, non-removable battery100W wired, PD, QC3, 50% in 9 min (advertised)
Reverse wired",4600.0,144
Oppo Reno 10,Oppo,8,8,912,Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Adreno 642L,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),"Li-Po 4600 mAh, non-removable battery80W wired, PD, QC3, 50% in 11 min (advertised)
Reverse wired",4600.0,64
Oppo Reno 10 Pro Plus,Oppo,12,12,3499,Octa-core (1x3.0 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510),Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),"Li-Po 4700 mAh, non-removable battery100W wired, PD, QC3
Reverse wired",4700.0,144
TECNO POVA 5,TECNO,8,256,659,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G52 MC2,Mediatek Helio G99 (6nm),"Li-Po 6000 mAh, non-removable battery45W wired, 50% in 21 min, 100% in 60 min (advertised)",6000.0,2048
Honor X50,Honor,8,8,855,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),"Li-Po 5800 mAh, non-removable battery35W wired
6W reverse wired",5800.0,64
Asus Zenfone 10,Asus,8,8,3249,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 4300 mAh, non-removable battery30W wired, PD3.0, PPS, QC4
15W wireless
5W reverse wired",4300.0,64
Xiaomi 13 Ultra,Xiaomi,12,512,3455,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 5000 mAh, non-removable battery90W wired, PD3.0, QC4, 100% in 35 min (advertised)
50W wireless, 100% in 49 min (advertised)
10W reverse wireless",5000.0,6144
vivo Y36 5G,vivo,8,256,1099,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6020 (7 nm),"5000 mAh (TYP), 44W FlashCharge technology",5000.0,2048
Samsung Galaxy M14,Samsung,6,128,699,Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MP2,Exynos 1330 (5nm),"Li-Po 6000 mAh, non-removable battery15W wired - international
25W wired - India",6000.0,768
Infinix Note 30,Infinix,8,256,285,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek MT8781 Helio G99 (6nm),"Li-Po 5000 mAh, non-removable battery45W wired",5000.0,2048
Infinix Note 30 Pro,Infinix,8,256,829,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek MT8781 Helio G99 (6nm),"Li-Po 5000 mAh, non-removable battery68W wired, PD3.0, 80% in 30 min (advertised)
15W wireless
Reverse wireless",5000.0,2048
iQOO Neo 8 Pro,iQOO,16,16,1400,Octa-core (1x3.35 GHz Cortex-X3 & 3x3.0 GHz Cortex-A715 & 4x2.0 GHz Cortex-A510),Immortalis-G715 MC11,Mediatek Dimensity 9200+ (4 nm),"5000 mAh, non-removable battery120W wired, 50% in 9 min (advertised)",5000.0,256
Oppo A98,Oppo,8,256,1179,Qualcomm® Kryo™ 660 2*Gold (A78 based)@2.2GHz 6*Sliver (A55 based)@1.8GHz,Adreno™ 619 @840MHz,Snapdragon 660,"Li-Po 5000 mAh, non-removable battery, 67W SUPERVOOCTM, VOOC, and PD (9V/2A)",5000.0,2048
Huawei Mate X3,Huawei,12,512,8888,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510),Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 4G (4 nm),"Li-Po 4800 mAh, non-removable - GlobalSilicon-carbon 5060 mAh, non-removable - China only battery66W wired
50W wireless
7.5W reverse wireless",4800.0,6144
Huawei P60 Pro,Huawei,8,256,4699,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510),Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 4G (4 nm),"Li-Po 4815 mAh, non-removable battery88W wired
50W wireless
Reverse wireless",4815.0,2048
Huawei P60 Pro (Variant 1),Huawei,12,512,5499,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510),Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 4G (4 nm),"Li-Po 4815 mAh, non-removable battery88W wired
50W wireless
Reverse wireless",4815.0,6144
Redmi Note 12 Pro 4G,Redmi,8,256,1099,Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),Adreno 618,Qualcomm SM7150 Snapdragon 732G (8 nm),"Li-Po 5000 mAh, non-removable battery67W wired",5000.0,2048
Redmi Note 12S,Redmi,8,256,799,Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Helio G96 (12 nm),"Li-Po 5000 mAh, non-removable battery33W wired",5000.0,2048
Redmi Note 12 Pro,Redmi,8,256,1299,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,Mediatek MT6877V Dimensity 1080 (6 nm),"Li-Po 5000 mAh, non-removable battery67W wired, PD3.0, 50% in 15 min, 100% in 46 min (advertised)",5000.0,2048
Sony Xperia 1 V,Sony,12,256,5169,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 5000 mAh, non-removable battery30W wired, PD3.0, PPS, 50% in 30 min (advertised)
Wireless
Reverse wireless",5000.0,3072
Sony Xperia 10 V,Sony,6,8,1099,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,Qualcomm SM6375 Snapdragon 695 5G (6 nm),"Li-Po 5000 mAh, non-removable batteryWired, PD, QC",5000.0,48
Asus ROG Phone 7,Asus,12,256,2200,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 6000 mAh, non-removable battery65W wired, PD3.0, QC5, 100% in 42 min (advertised)
10W reverse wired",6000.0,3072
Asus ROG Phone 7 (Variant 1),Asus,16,512,4249,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 6000 mAh, non-removable battery65W wired, PD3.0, QC5, 100% in 42 min (advertised)
10W reverse wired",6000.0,8192
Asus ROG Phone 7 Ultimate,Asus,16,512,4999,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),"Li-Po 6000 mAh, non-removable battery65W wired, PD3.0, QC5, 100% in 42 min (advertised)
10W reverse wired",6000.0,8192
Poco F5 Pro,Poco,12,512,1784,Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),"Li-Po 5160 mAh, non-removable battery67W wired, PD3.0, QC3+, 50% in 15 min (advertised)
30W wireless, 50% in 32 min (advertised)",5160.0,6144
Poco F5 Pro (Variant 1),Poco,12,256,1889,Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),"Li-Po 5160 mAh, non-removable battery67W wired, PD3.0, QC3+, 50% in 15 min (advertised)
30W wireless, 50% in 32 min (advertised)",5160.0,3072
Poco F5 Pro (Variant 2),Poco,12,512,1784,Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),"Li-Po 5160 mAh, non-removable battery67W wired, PD3.0, QC3+, 50% in 15 min (advertised)
30W wireless, 50% in 32 min (advertised)",5160.0,6144
Poco F5,Poco,12,256,1000,Octa-core (1x2.91 GHz Cortex-A710 & 3x2.49 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),Adreno 725,Qualcomm SM7475-AB Snapdragon 7+ Gen 2 (4 nm),"Li-Po 5000 mAh, non-removable battery67W wired, PD3, QC4, 100% in 46 min (advertised)",5000.0,3072
Poco F5 (Variant 1),Poco,12,256,1000,Octa-core (1x2.91 GHz Cortex-A710 & 3x2.49 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),Adreno 725,Qualcomm SM7475-AB Snapdragon 7+ Gen 2 (4 nm),"Li-Po 5000 mAh, non-removable battery67W wired, PD3, QC4, 100% in 46 min (advertised)",5000.0,3072
Redmi A2 Plus,Redmi,3,64,389,Octa-core (4x2.2 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),PowerVR GE8320,Mediatek Helio G36 (12 nm),"Li-Po 5000 mAh, non-removable battery10W wired",5000.0,192
Samsung Galaxy A24 4G,Samsung,8,128,807,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek MT8781 Helio G99 (6nm),"Li-Po 5000 mAh, non-removable battery25W wired",5000.0,1024
iQOO Z7x,iQOO,8,128,549,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,Qualcomm SM6375 Snapdragon 695 5G (6 nm),"Li-Po 6000 mAh, non-removable battery80W wired, 1-70% in 34 min (advertised)",6000.0,1024
iQOO Z7x (Variant 1),iQOO,8,256,998,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,Qualcomm SM6375 Snapdragon 695 5G (6 nm),"Li-Po 6000 mAh, non-removable battery80W wired, 1-70% in 34 min (advertised)",6000.0,2048
iQOO Z7,iQOO,8,128,799,Octa-core (1x2.7 GHz Cortex-A78 & 3x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 642L,Qualcomm Snapdragon 782G (6 nm),"Li-Po 5000 mAh, non-removable battery120W wired",5000.0,1024
iQOO Z7 (Variant 1),iQOO,12,256,1469,Octa-core (1x2.7 GHz Cortex-A78 & 3x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 642L,Qualcomm Snapdragon 782G (6 nm),"Li-Po 5000 mAh, non-removable battery120W wired",5000.0,3072
